2017-10-16 16:32:13 CDT ERROR:  missing FROM-clause entry for table "USER" at character 8
2017-10-16 16:32:13 CDT STATEMENT:  select "USER"."firstName", "USER"."lastName", "USER"."email", "USER"."role", "USER"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where "EMPLOYEE"."businessID" = $1 order by "lastName" asc
2017-10-16 16:32:39 CDT ERROR:  missing FROM-clause entry for table "USER" at character 8
2017-10-16 16:32:39 CDT STATEMENT:  select "USER"."firstName", "USER"."lastName", "USER"."email", "USER"."role", "USER"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where "EMPLOYEE"."businessID" = $1 order by "USER"."lastName" asc
2017-10-16 16:33:17 CDT ERROR:  missing FROM-clause entry for table "USER" at character 8
2017-10-16 16:33:17 CDT STATEMENT:  select "USER"."firstName", "USER"."lastName", "USER"."email", "USER"."role", "USER"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where "EMPLOYEE"."businessID" = $1 order by "USER"."lastName" asc
2017-10-16 16:33:25 CDT ERROR:  missing FROM-clause entry for table "USER" at character 8
2017-10-16 16:33:25 CDT STATEMENT:  select "USER"."firstName", "USER"."lastName", "USER"."email", "USER"."role", "USER"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where "EMPLOYEE"."businessID" = $1 order by "USER"."lastName" asc
2017-10-16 16:40:18 CDT ERROR:  missing FROM-clause entry for table "USER" at character 82
2017-10-16 16:40:18 CDT STATEMENT:  select "USERS"."firstName", "USERS"."lastName", "USERS"."email", "USERS"."role", "USER"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where ("EMPLOYEE"."businessID" = "12" and "USERS"."role" != "Owner") order by "USER"."lastName" asc
2017-10-16 16:40:59 CDT ERROR:  missing FROM-clause entry for table "USER" at character 82
2017-10-16 16:40:59 CDT STATEMENT:  select "USERS"."firstName", "USERS"."lastName", "USERS"."email", "USERS"."role", "USER"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where ("EMPLOYEE"."businessID" = "12" and "USERS"."role" = "Owner") order by "USER"."lastName" asc
2017-10-16 16:41:26 CDT ERROR:  missing FROM-clause entry for table "USER" at character 82
2017-10-16 16:41:26 CDT STATEMENT:  select "USERS"."firstName", "USERS"."lastName", "USERS"."email", "USERS"."role", "USER"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where "EMPLOYEE"."businessID" = $1 order by "USER"."lastName" asc
2017-10-16 16:42:21 CDT ERROR:  column "12" does not exist at character 204
2017-10-16 16:42:21 CDT STATEMENT:  select "USERS"."firstName", "USERS"."lastName", "USERS"."email", "USERS"."role", "USERS"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where ("EMPLOYEE"."businessID" = "12" and "USERS"."role" != "Owner") order by "USERS"."lastName" asc
2017-10-16 16:42:44 CDT ERROR:  column "12" does not exist at character 204
2017-10-16 16:42:44 CDT STATEMENT:  select "USERS"."firstName", "USERS"."lastName", "USERS"."email", "USERS"."role", "USERS"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where ("EMPLOYEE"."businessID" = "12" and "USERS"."role" = "Owner") order by "USERS"."lastName" asc
2017-10-16 16:42:58 CDT ERROR:  column "12" does not exist at character 204
2017-10-16 16:42:58 CDT STATEMENT:  select "USERS"."firstName", "USERS"."lastName", "USERS"."email", "USERS"."role", "USERS"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where ("EMPLOYEE"."businessID" = "12" and "USERS"."role" = "Owner") order by "USERS"."lastName" asc
2017-10-16 16:43:17 CDT ERROR:  column "12" does not exist at character 204
2017-10-16 16:43:17 CDT STATEMENT:  select "USERS"."firstName", "USERS"."lastName", "USERS"."email", "USERS"."role", "USERS"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where ("EMPLOYEE"."businessID" = "12" and "USERS"."role" != "Owner") order by "USERS"."lastName" asc
2017-10-16 16:43:26 CDT ERROR:  column "12" does not exist at character 204
2017-10-16 16:43:26 CDT STATEMENT:  select "USERS"."firstName", "USERS"."lastName", "USERS"."email", "USERS"."role", "USERS"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where ("EMPLOYEE"."businessID" = "12" and "USERS"."role" = "Owner") order by "USERS"."lastName" asc
